metro,state,LAT,LON,BOV_1995,BOV_1996,BOV_1997,BOV_1998,BOV_1999,BOV_2000,BOV_2001,BOV_2002,BOV_2003,BOV_2004,BOV_2005,BOV_2006,BOV_2007,BOV_2008,BOV_2009,BOV_2010,BOV_2011,BOV_2012,BOV_2013,BOV_2014,BOV_2015,EQ_1995,EQ_1996,EQ_1997,EQ_1998,EQ_1999,EQ_2000,EQ_2001,EQ_2002,EQ_2003,EQ_2004,EQ_2005,EQ_2006,EQ_2007,EQ_2008,EQ_2009,EQ_2010,EQ_2011,EQ_2012,EQ_2013,EQ_2014,EQ_2015,ACC_1995,ACC_1996,ACC_1997,ACC_1998,ACC_1999,ACC_2000,ACC_2001,ACC_2002,ACC_2003,ACC_2004,ACC_2005,ACC_2006,ACC_2007,ACC_2008,ACC_2009,ACC_2010,ACC_2011,ACC_2012,ACC_2013,ACC_2014,ACC_2015,OV_1995,OV_1996,OV_1997,OV_1998,OV_1999,OV_2000,OV_2001,OV_2002,OV_2003,OV_2004,OV_2005,OV_2006,OV_2007,OV_2008,OV_2009,OV_2010,OV_2011,OV_2012,OV_2013,OV_2014,OV_2015,CAP_1995,CAP_1996,CAP_1997,CAP_1998,CAP_1999,CAP_2000,CAP_2001,CAP_2002,CAP_2003,CAP_2004,CAP_2005,CAP_2006,CAP_2007,CAP_2008,CAP_2009,CAP_2010,CAP_2011,CAP_2012,CAP_2013,CAP_2014,CAP_2015,AV_1995,AV_1996,AV_1997,AV_1998,AV_1999,AV_2000,AV_2001,AV_2002,AV_2003,AV_2004,AV_2005,AV_2006,AV_2007,AV_2008,AV_2009,AV_2010,AV_2011,AV_2012,AV_2013,AV_2014,AV_2015,POR_1995,POR_1996,POR_1997,POR_1998,POR_1999,POR_2000,POR_2001,POR_2002,POR_2003,POR_2004,POR_2005,POR_2006,POR_2007,POR_2008,POR_2009,POR_2010,POR_2011,POR_2012,POR_2013,POR_2014,POR_2015,FEL_1995,FEL_1996,FEL_1997,FEL_1998,FEL_1999,FEL_2000,FEL_2001,FEL_2002,FEL_2003,FEL_2004,FEL_2005,FEL_2006,FEL_2007,FEL_2008,FEL_2009,FEL_2010,FEL_2011,FEL_2012,FEL_2013,FEL_2014,FEL_2015,CAN_1995,CAN_1996,CAN_1997,CAN_1998,CAN_1999,CAN_2000,CAN_2001,CAN_2002,CAN_2003,CAN_2004,CAN_2005,CAN_2006,CAN_2007,CAN_2008,CAN_2009,CAN_2010,CAN_2011,CAN_2012,CAN_2013,CAN_2014,CAN_2015,WIL_2009,WIL_2010,WIL_2011,WIL_2012,WIL_2013,WIL_2014,WIL_2015,MIS_1995,MIS_1996,MIS_1997,MIS_1998,MIS_1999,MIS_2000,MIS_2001,MIS_2002,MIS_2003,MIS_2004,MIS_2005,MIS_2006,MIS_2007,MIS_2008,MIS_2009,MIS_2010,MIS_2011,MIS_2012,MIS_2013,MIS_2014,MIS_2015,TOT_1995,TOT_1996,TOT_1997,TOT_1998,TOT_1999,TOT_2000,TOT_2001,TOT_2002,TOT_2003,TOT_2004,TOT_2005,TOT_2006,TOT_2007,TOT_2008,TOT_2009,TOT_2010,TOT_2011,TOT_2012,TOT_2013,TOT_2014,TOT_2015
Adair,KY,37.076403,-85.313622,107,79,46,23,34,35,19,17,25,3,5,2,1,2,14,48,514,121,418,306,253,321,342,277,2,67,226,108,115,78,46,31,36,5,6,1377,2303,1664,2375,712,544,459,462,479,356,27,111,282,144,145,113,62,45,50,22,30,310,345,290,467,640,570,498,,,1,,2,1,2,,,,,,,,,,,,1,1,,,,10,,,6,6,1,,,,,,,1,,9,,,1,5,,2,1,,1,4,1,,,,,,,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,4,9,4,,,2,,2,7,2,1,2,2,8,3,4,2,7,4,13,3,27,46,17,2,6,8,8,9,3,11,7,8,14,11,10,11,15,34,15,29,22,,2,1,3,,,,3,,1,,1,,,1,,,1,2,,2,19,2,1,4,5,4,2,463,480,357,27,111,282,144,145,113,62,45,50,22,30,1427,2370,2206,2544,1155,898,744
Allen,KY,36.765047,-86.21585,45,20,0,6,8,0,3,0,0,1,0,0,0,7,0,0,0,0,27,0,0,13,11,24,19,5,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,88,74,35,25,16,13,4,3,3,1,2,0,0,7,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,46,11,,3,9,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,77,35,25,16,16,4,3,3,1,2,,,7,,,,,27,,
Anderson,KY,37.998648,-84.981754,62,70,47,37,50,46,44,36,38,27,35,22,36,28,39,44,55,102,26,49,66,197,239,203,256,345,344,350,354,303,280,344,239,211,205,239,217,264,252,129,72,69,396,431,398,458,540,501,496,477,421,386,476,342,335,340,392,360,402,437,270,239,238,1,,,1,3,2,,,2,,4,4,1,,,1,1,,3,1,1,1,,,2,3,1,6,10,16,11,19,12,21,23,20,7,6,17,15,17,13,1,,1,4,5,7,,5,2,,2,1,1,2,3,1,,1,,2,4,2,,,1,1,1,1,,,,,,1,,,,,,,,,26,19,38,31,23,17,20,12,16,10,15,20,15,6,11,23,20,20,11,14,14,99,107,100,125,105,83,71,57,41,57,57,42,47,77,82,84,86,112,79,99,91,2,,4,1,1,,1,8,1,10,1,5,1,4,3,3,1,,1,1,,4,3,,,4,3,1,397,436,399,458,540,502,496,477,421,386,476,342,335,341,400,380,436,505,268,257,260
Ballard,KY,37.035987,-89.017933,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,22,25,56,18,8,5,7,3,1,2,1,0,0,0,0,0,0,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24,43,13,8,5,8,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,65,19,8,5,8,3,1,2,1,,,,,,,2,,,2
Barren,KY,36.967684,-85.848624,14,32,33,25,15,30,93,61,50,32,43,22,17,56,506,284,0,0,0,1,0,30,138,95,90,48,53,42,99,31,27,17,15,23,41,22,3,0,0,0,0,0,47,171,135,117,64,84,135,160,81,61,63,70,78,189,87,5,0,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,1,4,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,1,,6,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,3,1,,1,,,,,,,,,,,,,1,1,1,1,,,,2,1,,2,34,35,88,11,,,,,,,47,171,137,117,64,84,135,162,83,61,63,71,78,189,543,288,,,,1,1
Bath,KY,38.106816,-83.719914,55,59,54,58,62,43,46,32,42,37,41,39,28,48,34,151,75,24,50,111,134,398,557,527,629,621,692,683,872,1004,1104,1005,1069,987,927,718,725,699,706,567,20,16,479,643,613,714,717,762,754,942,1082,1181,1071,1141,1047,995,765,800,759,782,644,83,86,1,,1,2,3,2,1,3,,2,3,,,1,1,1,2,1,,2,2,1,,,5,1,9,7,8,7,6,2,2,7,,,13,3,10,,2,2,1,,,,1,,3,,4,1,2,2,,,,3,,,,,,1,3,1,,1,,2,,,2,,,1,1,,,,,,,2,1,1,4,2,5,3,1,2,1,2,,4,3,1,1,6,3,18,10,4,2,16,22,25,17,22,12,11,23,22,26,17,24,21,14,11,27,28,39,74,16,22,,3,,1,1,,,5,1,1,3,1,1,,2,2,1,1,1,,3,4,1,1,,,1,,479,643,613,716,717,762,754,942,1082,1181,1071,1141,1047,995,769,930,811,799,702,156,180
Bell,KY,36.741122,-83.634843,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,43,28,26,21,21,17,22,19,2,4,0,0,1,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,2,3,1,,,1,,,,,,,,,,,,24,32,37,26,22,18,19,16,19,18,1,3,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,34,42,44,28,26,21,21,17,22,19,2,4,,,,,2,,1,,
Boone,KY,38.994057,-84.731556,16,13,18,10,4,4,13,19,8,20,7,5,11,6,1,0,0,0,0,0,9,773,1244,1370,1308,662,657,587,769,750,747,821,832,847,772,460,386,665,415,351,319,356,976,1488,1615,1562,883,849,763,978,934,974,959,1009,1002,922,589,552,724,527,487,457,440,1,,,,1,,,,2,,1,1,2,1,1,,,,1,,,21,25,20,13,5,6,5,3,3,12,9,4,,2,2,30,2,,,1,,6,6,5,6,6,,10,1,4,1,2,,,1,3,,,,,,,13,11,6,14,29,43,13,18,20,35,1,,,,,,,,,,,25,53,34,35,39,20,21,39,17,22,17,26,20,19,14,23,30,20,32,28,15,121,134,151,165,135,117,112,123,129,135,104,142,120,121,106,144,127,94,107,105,70,,,,1,,,,7,8,16,11,2,4,2,6,1,3,1,2,2,,2,3,,2,2,,1,983,1494,1620,1562,883,851,763,978,934,975,963,1012,1002,922,589,586,824,532,493,453,451
Bourbon,KY,38.217075,-84.22788,250,257,220,173,180,151,171,145,106,105,113,76,109,77,331,239,405,509,204,154,217,2220,2884,2690,3467,3215,2735,1883,1817,1803,1655,1949,1826,2378,2306,1272,849,580,745,829,1362,1171,2739,3428,3218,3925,3759,3197,2377,2293,2290,2115,2392,2248,2738,2599,1955,1510,1149,1224,1373,1608,1209,7,14,33,7,9,19,13,5,6,7,3,7,10,7,6,5,5,8,3,2,3,3,5,1,4,3,6,6,1,6,4,4,7,2,6,7,2,6,9,3,5,12,8,1,2,4,4,4,7,1,1,,,,,1,,,,1,,4,4,47,29,15,22,19,15,11,8,4,4,,,,1,,,,2,1,5,,30,49,52,60,75,69,64,78,87,60,62,59,38,44,28,26,21,19,21,16,22,166,184,206,215,255,201,203,211,246,225,207,179,130,116,110,86,114,129,91,97,137,,1,3,1,2,1,1,20,31,12,18,24,12,23,27,37,56,60,95,70,41,47,12,5,6,8,6,4,2751,3454,3231,3970,3785,3212,2381,2293,2296,2116,2398,2249,2744,2600,1803,1220,1139,1429,1162,1652,1571
Boyd,KY,38.383327,-82.691543,1,,1,0,0,3,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,29,23,87,44,37,0,0,1,0,7,0,0,0,0,866,2266,1414,1473,2,5,1,133,113,219,170,156,112,121,121,51,68,23,29,4,2,37,68,73,99,36,23,8,2,5,,3,1,1,,,,,,,,,,,,,,,,,,1,2,,,,,,2,,,,,,2,,,,3,,11,11,7,4,10,5,2,4,3,2,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,11,20,12,12,14,10,12,11,6,4,3,,,,,6,8,1,3,2,67,49,81,84,80,85,106,97,32,43,18,22,4,,,,18,40,33,10,4,,,,,,,,11,15,22,20,16,4,3,5,5,6,,3,,1,5,,,1,,,,133,114,219,170,156,112,121,121,51,68,23,29,4,2,872,2270,1438,1522,36,23,7
Boyle,KY,37.652603,-84.815078,302,295,272,231,255,273,349,343,193,194,194,128,180,200,683,2095,1311,930,1593,2296,1646,1351,1206,1400,1631,1933,1546,355,320,240,396,598,534,500,622,616,627,536,477,1350,2260,2269,1907,1823,2027,2197,2440,1969,852,805,614,776,944,821,825,950,894,852,793,701,583,596,597,,6,3,4,4,3,8,6,6,4,3,,4,,5,3,6,11,4,3,6,19,23,26,19,20,18,40,68,93,68,55,49,33,34,15,81,38,79,48,22,48,7,3,7,5,5,5,11,5,3,4,2,2,4,2,,3,6,,4,,7,33,17,9,11,17,11,8,8,4,4,3,3,5,3,23,47,42,60,47,48,50,31,48,63,56,43,23,10,14,8,9,10,13,13,9,18,13,22,16,13,15,10,167,226,239,234,159,90,64,38,64,96,74,88,81,77,102,101,103,96,85,97,85,1,,,,,,,6,7,14,10,6,7,10,6,3,7,5,7,5,4,42,18,7,3,1,4,8,1916,1831,2033,2201,2442,1976,855,808,614,782,944,824,826,952,1505,2988,2071,1672,3145,4745,4123
Bracken,KY,38.711702,-84.059029,0,1,1,2,0,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,0,0,2,1,1,0,1,0,9,0,0,3,2,5,0,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,4,5,2,3,,,2,1,1,,1,,9,,,,,,,,
Breathitt,KY,37.535962,-83.336188,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,
Breckinridge,KY,37.7982,-86.459209,4,5,3,1,23,3,7,3,1,3,11,3,3,16,207,281,352,307,191,271,241,109,31,42,31,11,23,5,2,5,2,6,9,9,3,0,0,0,1286,0,3,0,226,142,153,163,141,116,71,58,36,39,42,59,46,52,57,47,33,60,64,40,31,,,,,2,1,1,,1,2,,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,3,1,,,2,,,,,1,,1,,,,,,,,,,52,56,58,52,50,39,23,14,2,,,,,,,,,,,,,15,11,15,12,9,11,6,4,4,5,6,7,4,6,5,6,4,10,22,8,6,50,46,42,71,50,40,27,31,22,24,18,22,17,21,30,29,19,23,31,16,10,,1,,,,,1,1,2,3,2,2,1,1,4,1,2,,18,13,7,,,1,1,1,,2,234,152,163,169,149,118,71,59,36,39,42,60,47,53,242,317,376,1628,245,298,260
Bullitt,KY,37.984211,-85.684578,10,4,6,1,1,0,2,0,0,1,1,1,3,0,1,0,0,0,0,0,0,513,200,148,143,57,96,78,38,44,152,112,70,58,55,55,139,51,50,41,45,36,572,221,173,161,66,102,82,41,50,165,119,76,71,59,37,111,55,67,63,63,58,,,1,2,,1,,,,,,,,,,,,2,,,,8,4,3,4,1,2,,1,,2,1,4,6,2,2,,,1,1,24,,6,1,1,4,4,,1,1,3,2,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,4,1,3,3,,,,,1,,3,1,,,,,,2,6,1,4,28,7,8,3,1,2,,,2,7,1,,3,2,,8,3,9,14,12,17,,1,1,,,,,2,4,3,1,2,1,,1,,1,,,1,,,,,,,,,572,221,173,161,66,102,82,41,50,165,119,76,71,59,59,148,55,64,62,82,57
Butler,KY,37.208639,-86.701389,0,0,1,1,2,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,89,0,0,0,0,0,0,0,0,7,15,22,98,49,45,0,0,0,0,15,5,105,8,9,6,0,0,0,0,0,7,20,22,46,24,15,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,18,7,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,16,6,109,8,10,6,,,,,,7,20,22,99,49,45,,,,
Caldwell,KY,37.150102,-87.894245,2,1,4,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297,440,393,0,11,1,0,0,0,0,1,0,0,1,20,0,0,0,1,0,0,309,446,415,14,19,9,0,2,0,0,1,0,0,1,15,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,23,16,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,310,448,420,16,20,9,,2,,,1,,,1,20,,,,1,,
Calloway,KY,36.640277,-88.285042,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,51,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,52,42,0,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,52,42,,8,1,,,,,,1,,1,,,,,,,
Campbell,KY,38.895189,-84.396254,39,26,32,49,40,47,35,28,23,20,15,16,13,17,7,13,6,9,0,2,1,417,639,689,803,870,918,684,667,624,668,636,686,622,508,471,345,411,400,45,35,37,757,894,948,1138,1158,1220,944,900,899,840,716,796,726,600,542,410,454,464,87,79,86,,1,,1,1,1,1,6,4,,1,1,,1,,,,,2,,,4,7,8,7,8,10,7,17,30,24,4,8,9,2,2,9,4,3,,1,,1,,,,2,,1,,,1,,,,,,,,,,,,5,,2,2,5,4,5,5,,2,1,,,,,,,1,,,,50,23,36,39,29,32,28,32,25,18,18,12,15,5,10,6,7,4,2,7,7,239,195,179,232,201,209,182,140,191,107,42,64,59,51,42,40,33,45,37,33,38,,,,,,,,2,4,4,5,4,1,1,6,3,,,13,12,16,10,,1,1,1,,,757,895,950,1138,1160,1222,944,901,901,840,717,800,731,600,542,413,462,463,87,78,83
Carlisle,KY,36.820668,-88.979678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Carroll,KY,38.674836,-85.064907,16,8,3,2,6,0,3,3,2,5,6,6,15,11,15,0,0,2,0,0,0,118,85,65,49,27,46,29,20,37,23,6,29,39,21,6,17,8,4,2,11,8,160,107,86,56,44,47,36,29,43,32,15,36,55,37,27,18,8,6,3,11,8,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,1,,3,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,8,1,3,2,4,,,2,2,,,,,,,,,,,,,18,10,15,3,5,,3,2,2,3,2,,,,4,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,1,,,,,,,161,107,86,56,44,47,36,29,43,32,15,36,55,37,27,17,8,6,2,11,8
Carter,KY,38.320471,-83.036138,8,11,7,13,8,6,13,2,3,6,3,5,1,3,0,1,56,16,24,0,10,75,114,199,325,245,319,411,447,366,115,169,248,122,145,74,33,60,51,5,6,34,87,131,218,387,291,352,451,462,370,122,173,268,126,158,87,54,91,102,51,42,73,,,,1,2,1,,,,1,,,,,,,,,,,,,1,,3,6,1,2,1,1,,,,,,,1,1,2,2,2,24,,1,1,,,,,,,,,,1,,,,,,,,,2,,4,12,9,8,10,2,,,1,3,,,,,,,1,,,,,1,8,4,3,5,3,,,,,,2,,3,6,7,6,3,5,1,4,6,24,17,11,9,6,,,,,1,6,6,13,19,39,30,29,24,,,,,1,3,,1,,,1,,3,1,1,,,,12,1,2,7,2,,,,,1,87,131,218,387,291,352,451,462,370,122,173,268,126,158,87,53,142,115,69,43,98
Casey,KY,37.315745,-84.898478,25,33,24,10,14,10,20,18,14,13,10,14,19,9,7,10,3,9,25,11,12,42,75,71,121,118,127,157,86,95,121,117,130,120,101,127,118,91,93,118,70,65,72,119,117,141,138,146,186,112,116,143,135,149,160,114,142,129,102,114,143,85,79,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,7,1,5,2,1,1,,,,,,1,,,,,1,5,,,2,1,,,,,,,1,,,,,,,3,10,9,1,,1,,,,,,,,,3,,,,,,,,1,6,,1,1,1,,,,1,,,,,,,1,,,,1,1,5,2,4,6,3,,,,4,3,2,2,1,,1,,3,4,1,3,3,,6,13,6,,1,1,2,2,2,,1,,6,4,1,1,17,2,1,,,,,,,72,121,118,141,139,146,186,112,116,143,135,149,161,114,143,131,95,109,160,91,78
Christian,KY,36.841059,-87.460397,1,1,0,0,2,5,0,2,0,0,0,0,5,5,28,16,18,49,18,0,10,2,2,5,14,12,45,15,13,6,,,6,20,9,3,17,,11,7,2,4,9,4,10,16,15,53,21,15,6,0,0,6,25,18,9,5,7,30,18,2,5,,,,,,,,,,,,,,,,,,1,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,6,1,5,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,1,30,,,,9,4,10,16,15,53,21,15,6,,,6,25,18,31,33,20,93,38,2,14
Clark,KY,37.959945,-84.143514,164,187,142,145,170,157,180,129,155,105,104,77,89,58,51,213,171,97,449,602,276,452,452,454,707,1030,853,884,819,310,128,114,282,300,281,403,200,196,183,155,117,131,732,723,690,967,1298,1103,1162,1033,581,290,273,397,439,374,495,286,273,290,247,231,230,10,11,15,21,25,29,30,23,31,10,9,5,12,5,4,5,10,11,3,3,4,2,1,4,5,4,6,18,21,31,17,16,17,21,12,9,6,7,14,9,6,11,13,12,10,11,8,2,8,1,10,,1,,2,2,1,2,2,2,,,1,6,3,3,5,3,6,8,13,10,3,2,1,,,,,,,,,1,12,12,14,10,12,10,4,6,2,8,3,3,1,3,1,2,,1,1,2,2,62,45,42,58,43,27,19,14,16,10,15,10,8,11,12,8,5,6,9,11,14,,,,,1,1,,11,6,6,6,3,13,11,8,18,9,9,3,7,5,11,9,15,5,8,8,5,732,729,690,968,1298,1103,1162,1034,583,290,273,398,440,377,494,445,406,319,635,750,445
Clay,KY,37.173804,-83.719914,0,0,0,0,0,0,0,0,0,5,13,17,40,13,6,9,6,23,6,62,10,0,0,57,88,98,144,145,127,160,260,534,780,869,362,164,267,76,46,64,38,39,5,25,83,125,149,175,171,147,175,286,570,836,959,398,196,311,127,97,95,80,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,,2,8,1,1,,,2,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,1,9,5,9,10,7,2,6,7,8,2,1,1,2,1,6,6,6,1,3,3,4,16,21,27,41,24,24,14,8,11,16,26,38,15,17,32,38,22,22,28,21,,1,,,,,,,,,,,,,,,,,7,12,1,,,,,,,,5,25,83,125,149,175,171,147,175,286,571,836,960,398,196,316,127,97,93,134,76
